KALTURA INC,US4834671061        ,5880,20892,0.00%
KAMUX OYJ,FI4000206750        ,10736,47401,0.00%
KANAMOTO CO LTD,JP3215200001        ,8821,304579,0.01%
KANEKA CORPORATION,JP3215800008        ,549,21172,0.00%
KANEMATSU CORP,JP3217100001        ,1111,30061,0.00%
KAO CORPORATION,JP3205800000        ,339,22236,0.00%
KARDEX HOLDING AG,CH0100837282        ,328,158089,0.01%
KASIKORNBANK PCL NVDR,TH0016010R14        ,121994,898630,0.04%
KASIKORNBANK-FOREIGN,TH0016010017        ,2713,20048,0.00%
KAWASAKI HEAVY INDUSTRIES LTD,JP3224200000        ,1686,126176,0.01%
KAWASAKI KISEN KAI NPV,JP3223800008        ,270,6261,0.00%
KB FINANCIAL GROUP INC,KR7105560007        ,3248,295449,0.01%
KB HOME,US48666K1097        ,9526,1011140,0.04%
KBC GROUP NV,BE0003565737        ,1912,238358,0.01%
KBR INC,US48242W1062        ,1567,146648,0.01%
KCC CORPORATION KRW5000,KR7002380004        ,48,12519,0.00%
KEI INDUSTRIES LTD,INE878B01027        ,1024,85711,0.00%
KELLANOVA,US4878361082        ,3500,457709,0.02%
KELLER GROUP PLC,GB0004866223        ,8272,242624,0.01%
KENNAMETAL INC,US4891701009        ,822,31873,0.00%
KENVUE INC,US49177J1025        ,291278,10044057,0.43%
KEPPEL LTD,SG1U68934629        ,1005,8136,0.00%
KERING,FR0000121485        ,54,21610,0.00%
KERRY GROUP PLC-A,IE0004906560        ,112,16958,0.00%
KESKO OYJ-B SHS,FI0009000202        ,188,5729,0.00%
KEURIG DR PEPPER INC,US49271V1008        ,9566,496253,0.02%
KEYENCE CORP NPV,JP3236200006        ,8060,5353516,0.23%
KEYSIGHT TECHNOLOGCOM USD,US49338L1035        ,7517,1950148,0.08%
KIA CORPORATION,KR7000270009        ,6403,707414,0.03%
KIER GROUP PLC,GB0004915632        ,59021,177168,0.01%
KIKKOMAN CORPORATION JPY,JP3240400006        ,468,8479,0.00%
KIMBERLY CLARK CORP,US4943681035        ,2567,543196,0.02%
KINAXIS INC,CA49448Q1090        ,954,185482,0.01%
KINDER CORP JPY50,JP3263000006        ,1325,41344,0.00%
KING SLIDE WORKS CO LTD,TW0002059003        ,30383,2320064,0.10%
KINGBOARD HOLDINGS LIMITED,KYG525621408        ,16651,64673,0.00%
KINGFISHER PLC GBP0.1571,GB0033195214        ,1292,6498,0.00%
KINGSPAN GROUP PLC,IE0004927939        ,143,16896,0.00%
KINPO ELECTRONICS ORD SHS,TW0002312006        ,377987,489743,0.02%
KINROSS GOLD CORP,CA4969024047        ,3299,49404,0.00%
KINTETSU GROUP HOLDINGS CO LTD,JP3260800002        ,1994,67840,0.00%
KIRBY CORP,US4972661064        ,164,28064,0.00%
KIRIN HOLDINGS CO LTD,JP3258000003        ,567,11941,0.00%
KIWOOM SECURITIES CO LTD,KR7039490008        ,136,17337,0.00%
KKR AND CO INC,US48251W1045        ,5046,1205379,0.05%
KLA TENCOR CORPORATION COM,US4824801009        ,1569,1596604,0.07%
KLAVIYO INC,US49845K1016        ,57126,3804995,0.16%
KNEATCOM INC,CA4988241010        ,4470,29414,0.00%
KNIGHT SWIFT TRANS CL A COM STK,US4990491049        ,110,9455,0.00%
KNORR BREMSE AG,DE000KBX1006        ,50,5888,0.00%
KOBE BUSSAN CO LTD,JP3291200008        ,103,3633,0.00%
KOITO MFG CO LTD NPV,JP3284600008        ,11263,232427,0.01%
KOKUSAI ELECTRIC ORD SHS,JP3293330001        ,171,3775,0.00%
KOMATSU LTD JPY,JP3304200003        ,15047,672689,0.03%
KONAMI GROUP CORP,JP3300200007        ,15414,2344433,0.10%
KONE CORPORATION NEW,FI0009013403        ,781,61374,0.00%
KONECRANES OYJ,FI0009005870        ,1828,187114,0.01%
KONGSBERG GRUPPEN AS,NO0003043309        ,199,36149,0.00%
KONGSBERG GRUPPEN ORD SHS,NO0003043309        ,188,34185,0.00%
KONICA MINOLTA HOLDINGS INC,JP3300600008        ,7736,52673,0.00%
KONINKLIJKE AHOLD DELHAIZE NV,NL0011794037        ,677,35651,0.00%
KONINKLIJKE PHILIPS NV,NL0000009538        ,582,23748,0.00%
KOREA ELECTRIC TERMINAL CO LTD,KR7025540006        ,1113,81692,0.00%
KOREA LIFE INSURANCE,KR7088350004        ,155278,419080,0.02%
KOREAN REINSURANCE COMPANY,KR7003690005        ,1615,14083,0.00%
KOTAK MAHINDRA BANK LIMITED,INE237A01028        ,124982,4211150,0.18%
KRAFT HEINZ CO COM,US5007541064        ,10059,498917,0.02%
KROGER CO COM,US5010441013        ,5309,524358,0.02%
KRUNG THAI BANK PUB CO-FOREIGN,TH0150010Z11        ,17007,16918,0.00%
KTB INVESTMENT AND SECURITIES ORD,KR7030210009        ,8373,28798,0.00%
KUAISHOU TECHNOLOGY,KYG532631028        ,1946,16729,0.00%
KUBOTA CORPORATION,JP3266400005        ,685,12947,0.00%
KUEHNE & NAGEL INTERNATIONAL AG,CH0025238863        ,44,16434,0.00%
KYB CORPORATION NPV,JP3220200004        ,3453,104302,0.00%
KYNDRYL HLDGS INC COM USD0.01,US50155Q1004        ,15109,844352,0.04%
KYOBO SECURITIES CO LTD,KR7030610000        ,3384,20643,0.00%
KYOCERA CORP,JP3249600002        ,2003,32425,0.00%
KYOTO FINANCIAL GRNPV,JP3252200005        ,2597,61911,0.00%
KYOWA ELECTRONIC INSTRUMENTS ORD SHS,JP3255200002        ,1852,7938,0.00%
KYOWA KIRIN CO LTD,JP3256000005        ,186,4553,0.00%
KYUDENKO CORP,JP3247050002        ,1071,56937,0.00%
L E LUNDBERGFORETAGEN AB - B SHARES,SE0000108847        ,52,3841,0.00%
L&K ENGINEERING CO LTD,TW0006139009        ,6425,71057,0.00%
L'OREAL,FR0000120321        ,718,410787,0.02%
L3 HARRIS TECHNOLOGIES INC,US5024311095        ,1444,490384,0.02%
LA FRANCAISE DES JEUX SA,FR0013451333        ,72,4511,0.00%
LA Z BOY IN,US5053361078        ,1179,82972,0.00%
LABCORP HOLDINGS I COM USD0.1,US5049221055        ,1220,451971,0.02%
LAFARGEHOLCIM LTD,CH0012214059        ,4058,631728,0.03%
LAM RESEARCH CORP COM USD 0.001 P S,US5128073062        ,14681,1712672,0.07%
LAMB WESTON HOLDINGS INC,US5132721045        ,3461,373611,0.02%
LANCASHIRE HOLDINGS LTD,BMG5361W1047        ,32544,433818,0.02%
LANDIS AND GYR GROUP AG,CH0371153492        ,485,49667,0.00%
LANTHEUS HOLDINGS INC,US5165441032        ,3587,518222,0.02%
LARGAN PRECISION CO LTD,TW0003008009        ,2797,368580,0.02%
LARSEN AND TOUBRO LIMITED,INE018A01030        ,4052,275742,0.01%
LAS VEGAS SANDS CORP,US5178341070        ,18707,1551755,0.07%
LASERTEC CORP NPV,JP3979200007        ,72,11284,0.00%
LATAM AIRLINES GROUP SA ADR,US51817R2058        ,1504,67006,0.00%
LEEDARSON IOT TECHNOLOGY INC,CNE100004P57        ,89820,312032,0.01%
LEGAL & GENERAL GROUP PLC,GB0005603997        ,4296,19967,0.00%
LEGEND BIOTECH CORP,US52490G1022        ,9611,505114,0.02%
LEGRAND SA,FR0010307819        ,191,30042,0.00%
LEIDOS HLDGS INC COM USD0.0001,US5253271028        ,1922,447160,0.02%
LENNAR CORPORATION CLASS A,US5260571048        ,4197,924443,0.04%
LENNOX INTL INC COM,US5261071071        ,425,418180,0.02%
LENOVO GROUP LTD,HK0992009065        ,6735,14116,0.00%
LEONARDO  SpA,IT0003856405        ,635,27559,0.00%
LEXEO THERAPEUTICS INC,US52886X1072        ,5855,62220,0.00%
LF CORP,KR7093050003        ,8296,141077,0.01%
LG CHEM LTD,KR7051910008        ,1749,479698,0.02%
LG INNOTEK CO LTD,KR7011070000        ,545,96831,0.00%
LI NING CO LTD,KYG5496K1242        ,120488,412355,0.02%
LIBERTY BROADBAND,US5303073051        ,2869,346409,0.01%
LIBERTY MEDIA CORP COM USD0.01 FORMULA ONE C,US5312297550        ,152,22782,0.00%
LIBERTY MEDIA CORP ORD SHS SERIES C,US5312297220        ,500,54969,0.00%
LIFCO AB SER B NPV,SE0015949201        ,161,7537,0.00%
LIFE CORP,JP3966600003        ,1820,65757,0.00%
LIGHTSPEED COMMERCE INC,CA53229C1077        ,44587,1096794,0.05%
LILLY (ELI) & CO USD,US5324571083        ,21955,27374935,1.18%
LINCOLN NATL CORPORATION IND USD,US5341871094        ,3689,188919,0.01%
LINDE PLC,IE000S9YS762        ,1590,1075133,0.05%
LINDT & SPRUENGLI AG-PC,CH0010570767        ,1,12977,0.00%
LINDT & SPRUENGLI AG-REG,CH0010570759        ,0,13565,0.00%
LION CORPORATION,JP3965400009        ,2838,51397,0.00%
LIVANOVA PLC,GB00BYMT0J19        ,5881,439855,0.02%
LIVE NATION INC,US5380341090        ,2086,436271,0.02%
LIVERAMP HOLDINGS,US53815P1084        ,821,40272,0.00%
LIXIL CORPORATION,JP3626800001        ,18217,323034,0.01%
LKQ CORP COM,US5018892084        ,6592,391260,0.02%
LLOYDS BANKING GP ADR,US5394391099        ,94060,413218,0.02%
LLOYDS BANKING GROUP PLC,GB0008706128        ,1160504,1285926,0.06%
LOBLAW COMPANIES LTD,CA5394811015        ,110,23447,0.00%
LOCKHEED MARTIN CORP COM STK USD0.01,US5398301094        ,8127,6378271,0.28%
LOEWS CORP,US5404241086        ,3272,447547,0.02%
LOGISTA INTEGRAL S A,ES0105027009        ,2404,117403,0.01%
LOGITECH INTERNATIONAL SA,CH0025751329        ,111,14816,0.00%
LOJAS RENNER SA,BRLRENACNOR1        ,265970,842756,0.04%
LONCIN MOTOR ORD SHS A,CNE100001JP2        ,790177,1591079,0.07%
LONDON STOCK EXCHANGE,GB00B0SWJX34        ,102886,23485869,1.01%
LONZA AG - REG,CH0013841017        ,53,50224,0.00%
LOOMIS AB NPV,SE0014504817        ,645,31737,0.00%
LOREAL EUR 0.2 PRIME DE FIDELITE 2,FR001400M8G9        ,134,76551,0.00%
LOREAL EUR PRIME FIDELIT REGD,FR0011149590        ,1145,654601,0.03%
LOTTE SHOPPING CO,KR7023530009        ,122,7221,0.00%
LOTUS BAKERIES NV,BE0003604155        ,0,4803,0.00%
LOUISIANA-PACIFIC CORP,US5463471053        ,717,119942,0.01%
LOWE'S COMPANIES INC,US5486611073        ,2143,854381,0.04%
LPL FINANCIAL HOLDINGS INC,US50212V1008        ,61,32112,0.00%
LS CORP,KR7006260004        ,205,21242,0.00%
LT GROUP INC,PHY5342M1000        ,552940,162109,0.01%
LULULEMON ATHLETIC,US5500211090        ,8148,5032550,0.22%
LUMENTUM HOLDINGS INC,US55024U1097        ,1215,164805,0.01%
LUNDIN GOLD INC,CA5503711080        ,964,33205,0.00%
LUNDIN MINING CORP,CA5503721063        ,453,6291,0.00%
LUPIN LTD,INE326A01037        ,3598,159912,0.01%
LVMH MOET HENNESSY VUITTON SE,FR0000121014        ,1545,1642261,0.07%
Z HOLDINGS CORPORATION,JP3933800009        ,1846,7956,0.00%
LYNAS RARE EARTHS LTD,AU000000LYC6        ,23532,151314,0.01%
LYONDELLBASELL INDUSTRIES,NL0009434992        ,3638,436452,0.02%
M AND G PRUDENTIAL PLC ORD,GB00BKFB1C65        ,1560,6242,0.00%
M3 INC NPV,JP3435750009        ,304,4371,0.00%
MACQUARIE GROUP LTD,AU000000MQG1        ,6004,1330826,0.06%
MACYS INC,US55616P1049        ,3180,86964,0.00%
MADRIGAL PHARMACEUTICALS INC,US5588681057        ,1507,751181,0.03%
MAGNA INTERNATIONAL INC,CA5592224011        ,198,13352,0.00%
MAGNERA CORP,US55939A1079        ,1070,31400,0.00%
MAHINDRA & MAHINDRA LIMITED,INE101A01026        ,16415,931242,0.04%
MAIRE TECNIMONT SPA,IT0004931058        ,44642,616700,0.03%
MAISONS DU MONDE SA,FR0013153541        ,1317,9501,0.00%
MAKEMYTRIP LTD,MU0295S00016        ,1373,248908,0.01%
MAKITA CORPORATION,JP3862400003        ,10615,528304,0.02%
MALAYAN FLOUR MILLS ORD SHS,MYL3662OO003        ,58167,10925,0.00%
MAMMY MART CORP,JP3870200007        ,655,27827,0.00%
MAN GROUP PLC N ORD,JE00BJ1DLW90        ,329643,1429603,0.06%
MANHATTAN ASSOCIATES INC,US5627501092        ,74,32509,0.00%
MANKIND PHARMA LTD,INE634S01028        ,2513,136529,0.01%
MANULIFE FINANCIAL CORP,CA56501R1064        ,1283,63604,0.00%
MAPFRE SA,ES0124244E34        ,58799,240535,0.01%
MARATHON PETROL COM,US56585A1025        ,2260,509244,0.02%
MARCOPOLO ORD SHS,BRPOMOACNOR0        ,116247,171103,0.01%
MARKEL CORPORATION,US5705351048        ,10,26527,0.00%
MARKETAXESS HLDGS COM,US57060D1081        ,1088,397284,0.02%
MARKS & SPENCER GROUP,GB0031274896        ,1848,14034,0.00%
MARRIOTT INTL INCUSD,US5719032022        ,2571,1158223,0.05%
MARRIOTT VACATIONS WORLDWIDE CORP,US57164Y1073        ,429,62238,0.00%
MARSH & MCLENNAN COM,US5717481023        ,2189,750892,0.03%
MARSHALLS PLC,GB00B012BV22        ,27494,163783,0.01%
MARTIN MARIETTA MATERIALS,US5732841060        ,568,473946,0.02%
MARUBENI CORPORATION,JP3877600001        ,1039,25546,0.00%
MARUI GROUP CO LTD,JP3870400003        ,4109,106185,0.00%
MARVELL TECHNOLOGY COM,US5738741041        ,4078,727552,0.03%
MAS FINANCIAL SERVICES LTD,INE348L01012        ,2011,10445,0.00%
MASCO CORP USD,US5745991068        ,3432,402281,0.02%
MASTEC INC,US5763231090        ,724,159132,0.01%
MASTERCARD INC - CLASS A,US57636Q1040        ,11061,9407314,0.41%
MATCH GROUP INC,US57667L1070        ,8066,426107,0.02%
MATSUKIYOCOCOKARA AND CO,JP3869010003        ,10956,259524,0.01%
MATTEL INC COM USD1.00,US5770811025        ,3848,110199,0.00%
MAZDA MOTOR CORP,JP3868400007        ,6733,74967,0.00%
MCCORMICK AND COMPANY INC,US5797802064        ,3432,422643,0.02%
MCDONALD'S CORP,US5801351017        ,12226,5724072,0.25%
MCDONALDS HOLDINGS CO JAPAN,JP3750500005        ,61,3874,0.00%
MCKESSON CORP,US58155Q1031        ,1524,1403222,0.06%
MDA SPACE LTD COM NPV,CA55293N1096        ,1153,38240,0.00%
MEBUKIFINANCIAL G NPV,JP3117700009        ,57100,376906,0.02%
MEDIATEK INC,TW0002454006        ,30149,2101659,0.09%
MEDINCELL SA ORD SHS,FR0004065605        ,2167,60239,0.00%
MEDIOBANCA BANCA DI ITL,IT0000062957        ,352,8281,0.00%
MEDIPAL HOLDINGS CORPORATION,JP3268950007        ,2182,53374,0.00%
MEDLEY INC,JP3921310003        ,10295,405732,0.02%
MEDPACE HOLDINGS INC,US58506Q1094        ,296,158870,0.01%
MEDTRONIC PLC,IE00BTN1Y115        ,9335,1204403,0.05%
MEG ENERGY CORP,CA5527041084        ,186,4942,0.00%
MEIDENSHA CORPORATION,JP3919800007        ,763,34303,0.00%
MEIJI HOLDINGS CO NPV,JP3918000005        ,164,5383,0.00%
MEITUAN,KYG596691041        ,132943,4193246,0.18%
MELCO RESORTS AND ENTERTAINMENT ADR,US5854641009        ,48382,452449,0.02%
MELROSE INDUSTRIES PLC,GB00BNGDN821        ,939,10523,0.00%
MEMBERS CO LTD,JP3921700005        ,1123,12032,0.00%
MERCADOLIBRE INC,US58733R1023        ,2929,8043077,0.35%
MERCADOLIBRE ORD SHS,US58733R1023        ,16,43915,0.00%
MERCEDES-BENZ GROUP AG,DE0007100000        ,1719,154666,0.01%
MERCK & CO INC NEW COM,US58933Y1055        ,35532,5708949,0.25%
MERCK KGAA,DE0006599905        ,94,22030,0.00%
MERCURY GENERAL CORP,US5894001008        ,573,61496,0.00%
MERIDA INDUSTRY CO LIMITED,TW0009914002        ,71273,530196,0.02%
MERIDIAN ENERGY LT NPV,NZMELE0002S7        ,893,4775,0.00%
MERUS NV,NL0011606264        ,5285,358905,0.02%
META PLATFORMS INC,US30303M1027        ,48429,45798059,1.98%
METLIFE INC,US59156R1086        ,9369,1239001,0.05%
METRO BANK HOLDINGS PLC,GB00BMX3W479        ,36771,70066,0.00%
METRO INC - A,CA59162N1096        ,156,15797,0.00%
METROPOLITAN BANK & TRUST COMPANY,PHY6028G1361        ,34188,68729,0.00%
METSO CORPORATION,FI0009014575        ,429,6442,0.00%
METTLER TOLEDO INTL,US5926881054        ,234,463300,0.02%
MGIC INVESTMENT CORP,US5528481030        ,84213,3224880,0.14%
MGM RESORTS INTERNATIONAL,US5529531015        ,6802,380667,0.02%
MI HOMES INC,US55305B1017        ,302,64754,0.00%
MICHELIN CGDE,FR001400AJ45        ,487,25882,0.00%
MICROCHIP TECHNOLOGY INC,US5950171042        ,8637,800042,0.03%
MICRON TECHNOLOGY INC USD,US5951121038        ,12239,1663569,0.07%
MICROSOFT CORP,US5949181045        ,134921,91850665,3.96%
MICROSOFT ORD SHS,US5949181045        ,80,54637,0.00%
MICROSTRATEGY COM USD0.001 CLASS A,US5949724083        ,133,62308,0.00%
MIDEA GROUP CO LTD,CNE100001QQ5        ,28753,478560,0.02%
MIGDAL INSURANCE AND FINANCIAL HOLDINGS LTD,IL0010811656        ,42037,127771,0.01%
MINEBEA MITSUMI INC,JP3906000009        ,251,6633,0.00%
MINTH GROUP LTD,KYG6145U1094        ,10440,32821,0.00%
MIRAE ASSET SECURITIES CO LTD,KR7006801005        ,2341,10965,0.00%
MIRION TECHNOLOGIES CL A ORD,US60471A1016        ,86570,2439859,0.11%
MIRUM PHARMACEUTICALS INC,US6047491013        ,16415,1096284,0.05%
MISUMI GROUP INC,JP3885400006        ,6666,168173,0.01%
MITIE GROUP PLC,GB0004657408        ,153874,342378,0.01%
MITSUBISHI CHEMICAL GROUP CORPORATION,JP3897700005        ,936,7694,0.00%
MITSUBISHI CORP,JP3898400001        ,31847,852270,0.04%
MITSUBISHI ELECTRIC,JP3902400005        ,9153,252742,0.01%
MITSUBISHI HC CAPITAL INC,JP3499800005        ,556,5950,0.00%
MITSUBISHI HEAVY INDUSTRIES LTD,JP3900000005        ,4971,113564,0.00%
MITSUBISHI UFJ FINANCIAL,JP3902900004        ,139441,2645349,0.11%
MITSUI AND CO NPV,JP3893600001        ,1838,62548,0.00%
MITSUI CHEMICALS INC,JP3888300005        ,9626,343266,0.01%
MITSUI SOKO CO LTD NPV,JP3891200002        ,6866,523596,0.02%
MIXI INC,JP3882750007        ,1901,59575,0.00%
MIZUHO FINANCIAL GROUP INC,JP3885780001        ,61921,2464624,0.11%
MIZUNO CORP,JP3905200006        ,455,41905,0.00%
MOBICO GROUP PLC,GB0006215205        ,59322,95156,0.00%
MODEC INC,JP3888250002        ,29885,1027335,0.04%
MODERNA INC,US60770K1079        ,6246,419451,0.02%
MOHAWK INDUSTRIES INC,US6081901042        ,3340,642588,0.03%
MOLINA HEALTHCARE INC,US60855R1005        ,909,427200,0.02%
MOLSON COORS BEVERAGE CO,US60871R2094        ,4173,386363,0.02%
MOLTEN VENTURES PLC,GB00BY7QYJ50        ,17961,115893,0.01%
MOMENTUM METROPOLI ZAR0.000001,ZAE000269890        ,57745,149560,0.01%
MONCLER SPA,IT0004965148        ,842,71754,0.00%
MONDAY COM LTD,IL0011762130        ,3903,1484256,0.06%
MONDELEZ INTERNATIONAL INC,US6092071058        ,18306,1765970,0.08%
MONDI PLC ORD EUR0.22,GB00BMWC6P49        ,456,10984,0.00%
MONGODB INC,US60937P1066        ,53,20034,0.00%
MONOLITHIC POWER SYSTEMS INC,US6098391054        ,815,778404,0.03%
MONOTARO CO LTD,JP3922950005        ,240,6584,0.00%
MONSTER BEVERAGE SHS ORD,US61174X1090        ,6151,522176,0.02%
MONY GROUP PLC,GB00B1ZBKY84        ,66135,256983,0.01%
MOODYS CORPORATION,US6153691059        ,965,737543,0.03%
MOONLAKE IMMUNOTHERAPEUTICS,KY61559X1045        ,5883,514489,0.02%
MORGAN ADVANCED MATERIALS PLC,GB0006027295        ,48776,268364,0.01%
MORGAN SINDALL GROUP PLC,GB0008085614        ,5247,413908,0.02%
MORGAN STANLEY INVESTMENT MANAGEMENT (AUSTRALIA) PTY LIMITED,US6174464486        ,39285,7976941,0.34%
MORINAGA MILK IND NPV,JP3926800008        ,1017,30604,0.00%
MORNINGSTAR INC,US6177001095        ,528,287345,0.01%
MOSAIC CO COM,US61945C1036        ,9386,372618,0.02%
MOTOMOTION CHINA CORP,CNE100004RH6        ,72646,993410,0.04%
MOTOR OIL HELLAS CORINTH REFINERIES SA,GRS426003000        ,549,18944,0.00%
MOTOROLA SOLUTIONS INC,US6200763075        ,8676,6477241,0.28%
MOWI ASA,NO0003054108        ,321,8893,0.00%
MPC CONTAINER SHIPS ASA,NO0010791353        ,3421,10086,0.00%
MR COOPER GROUP INC,US62482R1077        ,649,100581,0.00%
MR PRICE GROUP,ZAE000200457        ,3408,86131,0.00%
MS & AD INSURANCE GROUP HOLDINGS,JP3890310000        ,17989,637615,0.03%
MSCI INC,US55354G1004        ,2166,2099123,0.09%
MTR CORP,HK0066009694        ,1066,6004,0.00%
MTU AERO ENGINES AG,DE000A0D9PT0        ,124,66954,0.00%
MUELLER INDS INC COM USD0.01,US6247561029        ,5441,697430,0.03%
MUELLER WATER PRODUCTS INC-A,US6247581084        ,6615,240377,0.01%
MUENCHENER RUECKVER RG-REG,DE0008430026        ,209,170667,0.01%
MULTI COMMODITY EXCHANGE OF INDIA LTD,INE745G01035        ,655,76988,0.00%
MUNTERS GROUP AB,SE0009806607        ,1220,33174,0.00%
MURATA MANUFACTURING CO,JP3914400001        ,14659,385587,0.02%
MUTOH HOLDINGS ORD SHS,JP3914000009        ,168,4513,0.00%
NAGASE & CO LTD,JP3647800006        ,6532,216483,0.01%
NAGOYA RAILROAD CO LTD,JP3649800004        ,2142,38570,0.00%
NARI TECHOLOGY CO LTD,CNE000001G38        ,11862,66194,0.00%
NASDAQ INC,US6311031081        ,5340,666759,0.03%
NATIONAL BANK OF CANADA,CA6330671034        ,247,36404,0.00%
NATWEST GROUP PLC ORD,GB00BM8PJY71        ,10381,84435,0.00%
NAVER CORP,KR7035420009        ,228,49686,0.00%
NCC GROUP PLC,GB00B01QGK86        ,37818,115204,0.00%
NEC CORPORATION,JP3733000008        ,179,25221,0.00%
NEC ELECTRONICS CORP,JP3164720009        ,1401,29455,0.00%
NEMETSCHEK AG,DE0006452907        ,40,6238,0.00%
NEOGENOMICS INC,US64049M2098        ,7910,210554,0.01%
NEOJAPAN INC,JP3758230001        ,7671,138272,0.01%
NESTE OYJ,FI0009013296        ,433,8772,0.00%
NESTLE INDIA INR1 POST SUB,INE239A01024        ,3305,135314,0.01%
NESTLE SA,CH0038863350        ,14755,1969129,0.08%
NETAPP INC,US64110D1046        ,3945,739544,0.03%
NETEASE INC,KYG6427A1022        ,3031,87218,0.00%
NETEASE INC SPON ADS EACH REP 25 ORD SH,US64110W1027        ,8142,1173180,0.05%
NETFLIX INC,US64110L1061        ,12375,17814993,0.77%
NETWEALTH GROUP LTD,AU000000NWL7        ,1350,38808,0.00%
NEUROCRINE BIOSCIENCES INC,US64125C1099        ,2357,519714,0.02%
NEUSOFT CORP,CNE000000KJ6        ,329449,785109,0.03%
NEW CARPHONE WAREHOUSE PLC,GB00B4Y7R145        ,120226,230788,0.01%
NEW GOLD INC,CA6445351068        ,15930,64224,0.00%
NEW YORK TIMES CO CLASS A COM USD0.10,US6501111073        ,8685,730088,0.03%
NEWELL BRANDS INC,US6512291062        ,4650,74796,0.00%
NEWMONT CORP,US6516391066        ,8074,485363,0.02%
NEWMONT CORPORATION,AU0000297962        ,4714,280650,0.01%
NEWS CORP,US65249B1098        ,6965,309823,0.01%
NEWS CORP,US65249B2088        ,2127,104532,0.00%
NEXANS SA,FR0000044448        ,348,60647,0.00%
NEXI SPA ORD,IT0005366767        ,407,3652,0.00%
NEXON CO LTD,JP3758190007        ,232,5670,0.00%
NEXT PLC,GB0032089863        ,2563,492423,0.02%
NGK INSULATORS LTD,JP3695200000        ,6866,142048,0.01%
NH FOODS LTD,JP3743000006        ,990,51852,0.00%
NHI INVESTMENT AND SE PFD KRW5000,KR7005941000        ,766,10219,0.00%
NHK SPRING CO LTD,JP3742600004        ,2690,55297,0.00%
NIBE INDUSTRIER AB SER B NPV,SE0015988019        ,1046,6608,0.00%
NICE  LTD,IL0002730112        ,79,21726,0.00%
NICHIAS CORPORATION,JP3660400007        ,696,40042,0.00%
NICHIREI CORP,JP3665200006        ,1205,51575,0.00%
NIDEC CORPORATION,JP3734800000        ,609,17866,0.00%
NIKE INC CL B,US6541061031        ,7523,919471,0.04%
NIKON CORPORATION JPY,JP3657400002        ,3092,52095,0.00%
NILFISK HOLDING AS,DK0060907293        ,561,13137,0.00%
NILORNGRUPPEN ABB SHS,SE0007100342        ,413,3975,0.00%
NINETY ONE PLC ORD GBP0.0001,GB00BJHPLV88        ,33252,98066,0.00%
NINTENDO CO LTD,JP3756600007        ,44631,4249074,0.18%
NIPPON EXPRESS HOLDINGS ORD SHS,JP3688370000        ,2891,71100,0.00%
NIPPON KAYAKU CO LTD,JP3694400007        ,11578,152776,0.01%
NIPPON LIGHT METAL HOLDINGS CO LTD,JP3700200003        ,1646,26377,0.00%
NIPPON PAINT HOLDINGS CO LTD,JP3749400002        ,655,6885,0.00%
NIPPON SANSO HOLDINGS CORP,JP3711600001        ,13011,591548,0.03%
NIPPON SHINYAKU CO LTD,JP3717600005        ,589,24143,0.00%
NIPPON SHOKUBAI JP50,JP3715200006        ,10962,215738,0.01%
NIPPON STEEL CORPORATION,JP3381000003        ,773,25264,0.00%
NIPPON YUSEN KK NPV,JP3753000003        ,694,37601,0.00%
