Table 1 – Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Assets,,,,
,,,Value (AUD),Weighting (%)
Lifestyle Communities Ltd,LIC AU,"15,768","134,974",0.00%
Link REIT,823 HK,"340,165","2,323,394",0.01%
LondonMetric Property PLC,LMP LN,"263,167","958,720",0.00%
LTC Properties Inc,LTC US,"5,733","319,891",0.00%
LXP Industrial Trust,LXP US,"38,224","501,302",0.00%
Macerich Co/The,MAC US,"28,461","915,684",0.00%
Macrotech Developers Ltd,LODHA IN,"185,770","4,869,276",0.01%
Mapletree Industrial Trust,MINT SP,"278,728","729,289",0.00%
Mapletree Logistics Trust,MLT SP,"459,434","690,801",0.00%
Mapletree Pan Asia Commercial Trust,MPACT SP,"324,979","465,550",0.00%
Medical Properties Trust Inc,MPW US,"79,942","510,004",0.00%
Melisron Ltd,MLSR IT,"3,376","484,907",0.00%
Mercialys SA,MERY FP,"14,351","242,647",0.00%
Merlin Properties Socimi SA,MRL SM,"45,131","766,874",0.00%
Mid-America Apartment Communities Inc,MAA US,"22,676","5,661,071",0.01%
Mirvac Group,MGR AU,"24,148,466","45,278,374",0.11%
Mitsubishi Estate Co Ltd,8802 JP,"15,627","353,399",0.00%
Mitsubishi Estate Logistics REIT Investment Corp,3481 JP,71,"254,006",0.00%
Mitsui Fudosan Co Ltd,8801 JP,"39,491","515,429",0.00%
Mitsui Fudosan Logistics Park Inc,3471 JP,301,"313,625",0.00%
Mobimo Holding AG,MOBN SW,"1,146","598,371",0.00%
Montea NV,MONT BB,"2,559","270,882",0.00%
Mori Hills REIT Investment Corp,3234 JP,226,"288,106",0.00%
Mori Trust Reit Inc,8961 JP,381,"241,321",0.00%
Multiplan Empreendimentos Imobiliarios SA,MULT3 BZ,"279,774","1,541,857",0.00%
National Health Investors Inc,NHI US,"5,512","616,909",0.00%
National Storage Affiliates Trust,NSA US,"9,524","583,137",0.00%
National Storage REIT,NSR AU,"2,392,693","5,598,901",0.01%
NEPI Rockcastle NV,NRP SJ,686,"8,104",0.00%
NETSTREIT Corp,NTST US,"9,927","226,860",0.00%
NexPoint Residential Trust Inc,NXRT US,"3,109","209,620",0.00%
Nippon Accommodations Fund Inc,3226 JP,64,"384,038",0.00%
Nippon Building Fund Inc,8951 JP,"1,010","1,270,649",0.00%
Nippon Prologis REIT Inc,3283 JP,330,"755,504",0.00%
NIPPON REIT Investment Corp,3296 JP,285,"223,144",0.00%
NNN REIT Inc,NNN US,"23,779","1,568,903",0.00%
Nomura Real Estate Master Fund Inc,3462 JP,606,"857,471",0.00%
NorthWest Healthcare Properties Real Estate Investment Trust,NWH-U CN,"31,987","159,852",0.00%
NP3 Fastigheter AB,NP3 SS,"4,076","148,946",0.00%
NTT UD REIT Investment Corp,8956 JP,220,"270,565",0.00%
Nyfosa AB,NYF SS,"25,083","395,619",0.00%
Omega Healthcare Investors Inc,OHI US,"49,709","3,038,816",0.01%
Orix JREIT Inc,8954 JP,355,"598,891",0.00%
Pandox AB,PNDXB SS,"12,319","345,373",0.00%
Paramount Group Inc,PGRE US,"26,599","212,224",0.00%
Park Hotels & Resorts Inc,PK US,"27,608","627,389",0.00%
Parkway Life Real Estate Investment Trust,PREIT SP,"62,894","279,233",0.00%
Pebblebrook Hotel Trust,PEB US,"16,056","351,375",0.00%
PEXA Group Ltd,PXA AU,"1,001,409","13,078,402",0.03%
Phillips Edison & Co Inc,PECO US,"16,239","982,494",0.00%
Phoenix Mills Ltd/The,PHNX IN,"15,321","472,275",0.00%
Piedmont Office Realty Trust Inc,PDM US,"17,564","259,560",0.00%
Precinct Properties Group,PCT NZ,"238,966","255,155",0.00%
Primaris Real Estate Investment Trust,PMZ-U CN,"13,961","242,544",0.00%
Primary Health Properties PLC,PHP LN,"213,355","402,653",0.00%
Prologis Inc,PLD US,"131,567","22,460,911",0.05%
PRS REIT Plc/The,PRSR LN,"111,604","242,907",0.00%
PSP Swiss Property AG,PSPN SW,"12,920","2,968,029",0.01%
Public Storage,PSA US,"32,157","15,552,099",0.04%
Qualitas Real Estate Income Fund,QRI AU,"57,651","96,565",0.00%
Realty Income Corp,O US,"137,372","11,850,208",0.03%
Regency Centers Corp,REG US,"35,049","4,185,059",0.01%
Region RE Ltd,RGN AU,"5,494,738","11,374,108",0.03%
Retail Estates NV,RET BB,"2,302","228,282",0.00%
Retail Opportunity Investments Corp,ROIC US,"16,584","464,993",0.00%
Rexford Industrial Realty Inc,REXR US,"28,149","1,757,633",0.00%
RioCan Real Estate Investment Trust,REI-U CN,"38,982","800,251",0.00%
RLJ Lodging Trust,RLJ US,"20,694","341,259",0.00%
Rural Funds Group,RFF AU,"89,891","155,960",0.00%
Ryman Hospitality Properties Inc,RHP US,"7,641","1,287,650",0.00%
Sabra Health Care REIT Inc,SBRA US,"30,491","852,961",0.00%
Safehold Inc,SAFE US,"6,915","206,403",0.00%
Safestore Holdings PLC,SAFE LN,"31,422","409,320",0.00%
Sagax AB,SAGAB SS,"28,508","942,604",0.00%
Samhallsbyggnadsbolaget i Norden AB,SBBB SS,"160,961","106,596",0.00%
SBA Communications Corp,SBAC US,"7,356","2,421,435",0.01%
Scentre Group,SCG AU,"10,204,022","34,999,795",0.08%
Segro PLC,SGRO LN,"174,052","2,468,696",0.01%
Sekisui House Reit Inc,3309 JP,595,"472,890",0.00%
Service Properties Trust,SVC US,"23,641","96,983",0.00%
Shaftesbury Capital PLC,SHC LN,"204,271","518,558",0.00%
Shurgard Self Storage Ltd,SHUR BB,"4,547","272,614",0.00%
Simon Property Group Inc,SPG US,"56,028","15,583,505",0.04%
Sino Land Co Ltd,83 HK,"195,878","319,708",0.00%
Sirius Real Estate Ltd,SRE LN,"193,686","307,549",0.00%
SITE Centers Corp,SITC US,"6,157","152,041",0.00%
SL Green Realty Corp,SLG US,"8,738","958,597",0.00%
SmartCentres Real Estate Investment Trust,SRU-U CN,"17,465","479,734",0.00%
STAG Industrial Inc,STAG US,"23,542","1,285,918",0.00%
Star Asia Investment Corp,3468 JP,405,"214,754",0.00%
Starhill Global REIT,SGREIT SP,"289,313","171,263",0.00%
Stockland,SGP AU,"5,499,444","26,397,332",0.06%
StorageVault Canada Inc,SVI CN,"31,218","138,128",0.00%
Summit Hotel Properties Inc,INN US,"15,019","166,168",0.00%
Sun Communities Inc,SUI US,"16,221","3,221,732",0.01%
Sun Hung Kai Properties Ltd,16 HK,"213,198","3,309,110",0.01%
Sunstone Hotel Investors Inc,SHO US,"26,748","511,495",0.00%
Suntec Real Estate Investment Trust,SUN SP,"325,746","451,222",0.00%
Supermarket Income Reit PLC,SUPR LN,"217,071","299,017",0.00%
Swire Properties Ltd,1972 HK,"148,798","489,443",0.00%
TAG Immobilien AG,TEG GR,"20,485","491,979",0.00%
Tanger Inc,SKT US,"13,961","769,584",0.00%
Target Healthcare REIT PLC,THRL LN,"128,467","218,281",0.00%
Terreno Realty Corp,TRNO US,"12,326","1,177,328",0.00%
Tokyu Fudosan Holdings Corp,3289 JP,"145,033","1,442,196",0.00%
Tokyu REIT Inc,8957 JP,149,"239,776",0.00%
Tritax Big Box REIT PLC,BBOX LN,"323,394","868,060",0.00%
UDR Inc,UDR US,"42,990","3,014,102",0.01%
Unibail-Rodamco-Westfield,URW AU,"20,268","122,011",0.00%
Unibail-Rodamco-Westfield,URW FP,"13,804","1,678,887",0.00%
UNITE Group PLC/The,UTG LN,"48,990","799,205",0.00%
United Urban Investment Corp,8960 JP,405,"585,996",0.00%
UOL Group Ltd,UOL SP,"660,423","4,034,576",0.01%
Urban Edge Properties,UE US,"15,795","548,477",0.00%
Urban Logistics REIT PLC,SHED LN,"88,978","184,303",0.00%
Ventas Inc,VTR US,"139,461","13,264,774",0.03%
Veris Residential Inc,VRE US,"10,746","288,623",0.00%
VICI Properties Inc,VICI US,"421,923","19,905,323",0.05%
Vicinity Ltd,VCX AU,"10,369,640","21,776,244",0.05%
Vonovia SE,VNA GR,"91,539","4,488,755",0.01%
Vornado Realty Trust,VNO US,"23,324","1,583,672",0.00%
Wallenstam AB,WALLB SS,"47,362","330,927",0.00%
Warehouse Reit PLC,WHR LN,"89,722","142,649",0.00%
Warehouses De Pauw CVA,WDP BB,"22,487","714,560",0.00%
Waypoint REIT Ltd,WPR AU,"6,323,230","14,733,125",0.03%
Welltower Inc,WELL US,"145,671","29,651,906",0.07%
Weyerhaeuser Co,WY US,"54,135","2,461,269",0.01%
Wharf Real Estate Investment Co Ltd,1997 HK,"208,624","861,474",0.00%
Wihlborgs Fastigheter AB,WIHL SS,"37,384","572,683",0.00%
Workspace Group PLC,WKP LN,"22,154","220,030",0.00%
WP Carey Inc,WPC US,"40,399","3,554,759",0.01%
Xenia Hotels & Resorts Inc,XHR US,"13,643","327,433",0.00%
Xior Student Housing NV,XIOR BB,"4,951","245,511",0.00%
Zillow Group Inc,Z US,"8,465","1,012,393",0.00%
Total,,,"1,006,022,437",2.37%
,,,,
"Unlisted Property
Held directly or by associated entities or by PSTs
Internally managed",,,,
Name/kind of investment item ,Address ,% of property held ,Value (AUD) ,Weighting (%)
Flagstone & Spring,Spring Mountain Drive and Pademelon Court Greenbank QLD 4124,0.00%,"Values and weighting for individual assets not disclosed, see totals below",
Flinders Ports Wineshed,"Lot 5, Pelican Point Road, Outer Harbour, SA, 5018",100.00%,,
PEET Alkimos Pty Ltd,"47 Painted Pkwy, Alkimos WA 6038",53.72%,,
Total,,,"47,216,770",0.11%
,,,,
"Unlisted Property Investment in non-associated entities;
Held directly or by associated entities or by PSTs
Externally managed",,,,
Name of Fund Manager ,,,Value (AUD) ,Weighting (%)
Charter Hall Holdings Pty Ltd,,,"656,737,830",1.55%
Dexus Wholesale Property Limited,,,"542,670,029",1.28%
Gresham Partners Group Limited,,,"22,535",0.00%
HMC Capital,,,"74,474,345",0.18%
Investa Property Group,,,"80,831,767",0.19%
ISPT Pty Ltd,,,"456,614,723",1.08%
JGS Private Capital,,,"560,880,154",1.32%
Lendlease Real Estate Investments Limited,,,"204,397,575",0.48%
Nuveen Alternative Advisors LLC,,,"307,081,107",0.72%
Total,,,"2,883,710,065",6.80%
,,,,
Listed Infrastructure,,,,
Name/kind of investment item ,Security Identifier,Units held ,Value (AUD) ,Weighting (%)
APA Group,APA AU,"481,517","3,356,175",0.01%
Atlas Arteria Ltd,ALX AU,"1,450,053","6,887,752",0.02%
Dalrymple Bay Infrastructure Ltd,DBI AU,"36,335","130,806",0.00%
Hutchison Port Holdings Trust,HPHT SP,"99,270","26,295",0.00%
NETLINK NBN TRUST,NETLINK SP,"35,728","36,801",0.00%
Transurban Group,TCL AU,"5,969,566","79,932,482",0.19%
Total,,,"90,370,311",0.21%
,,,,
"Unlisted Infrastructure
Held directly or by associated entities or by PSTs
Internally managed",,,,
Name/kind of investment item ,,% Ownership,Value (AUD) ,Weighting (%)
Brisbane Airport Corp,,4.86%,"Values and weighting for individual assets not disclosed, see totals below",
Flinders Ports Pty Limited,,20.81%,,
Hobart Airport,,30.00%,,
Port Of Geelong,,30.00%,,
Total,,,"1,230,576,384",2.90%
,,,,
"Unlisted Infrastructure Investment in non-associated entities;
Held directly or by associated entities or by PSTs
Externally managed",,,,
Name of Fund Manager ,,,Value (AUD) ,Weighting (%)
Antin Infrastructure Partners SAS,,,"342,244,598",0.81%
Dexus Capital Investment Services Pty Limited,,,"300,141,760",0.71%
"Digital Bridge Investments, LLC",,,"278,619,548",0.66%
IFM Investors Pty Ltd,,,"818,630,430",1.93%
Macquarie Group Limited,,,"436,311,587",1.03%
Morrison Private Markets Pty Limited,,,"741,357,721",1.75%
Partners Group Holding AG,,,"4,779,894",0.01%
Patrizia Pty Ltd,,,"382,234,419",0.90%
Total,,,"3,304,319,957",7.80%
,,,,
Listed Alternatives,,,,
Total,,,0,0.00%
,,,,
"Unlisted Alternatives
Held directly or by associated entities or by PSTs
Internally managed",,,,
Total,,,0,0.00%
,,,,
"Unlisted Alternatives Investment in non-associated entities;
Held directly or by associated entities or by PSTs
Externally Managed",,,,
Name of Fund Manager ,,,Value (AUD) ,Weighting (%)
PIMCO Australia Pty Ltd,,,"229,417,936",0.54%
Winton Group Ltd,,,"202,738,466",0.48%
Total,,,"432,156,402",1.02%
,,,,
Total Investment Items,,,"43,078,957,765",101.63%
,,,,
Table 2 – Derivatives by kind of derivative,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Derivatives,,,,
Kind of derivative ,,,Value (AUD),Weighting
Swaps,,,"1,719,458",0.00%
Forwards,,,"-688,073,885",-1.62%
Futures,,,"-4,783,417",-0.01%
Options,,,"51,557",0.00%
Other,,,"12,849",0.00%
Total,,,"-691,073,437",-1.63%
,,,,
Table 3 – Derivatives by asset class,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Derivatives by Asset Class,,,,
Asset Class ,,,Actual Asset Allocation (% of Assets (including derivatives) in the investment option),Effect of Derivatives Exposure (% of Assets (including derivatives) in the investment option)
Cash,,,6.99%,-2.45%
Fixed Income,,,17.55%,2.48%
Equity,,,54.51%,-0.03%
Property,,,9.02%,0.00%
Infrastructure,,,10.91%,0.00%
Alternatives,,,1.02%,0.00%
Total,,,100.00%,0.00%
,,,,
Table 4—Derivatives by currency,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Derivatives by Currency,,,,
Currency exposure ,,,Actual currency exposure (% of assets and derivatives under management),Effect of derivatives exposure (% of assets and derivatives under management)
AUD,,,84.41%,34.52%
USD,,,10.86%,-26.01%
Currencies of other developed markets,,,2.95%,-7.36%
Currencies of emerging markets,,,1.79%,-1.14%
Total,,,100.00%,0.00%
,,,,
